questions,choices,answer,type
9+10=?,19:20:21:22,19,EQUATION
15*4=?,40:50:60:79,60,EQUATION
x+12=30,18:22:42:15,18,EQUATION
25% of 200,25:40:50:75,50,EQUATION
100/4=?,20:25:30:35,25,EQUATION
3^4=?,27:12:81:60,81,EQUATION
"Find the value of x in 4x - 80 = 0",-20:15:20:-15,20,WORD
"If Alfonso has 4,530 of apples, then he gave 20% of his apples to Rad and another 25% to Kenzie. How many apples does Alfonso have left over? (Round up your answer)",2492:2485:2487:2496,2492,WORD
"Find x if 5x - 8 = 2x + 7",3:4:5:6,5,WORD
"In a right triangle, the opposite side of the triangle is a 5, and in the hypotenuse side is 10. What is the sin(theta) of the right triangle?",0.5:0.75:1.0:1.5,0.5,WORD
"Solve the algebraic inequality: 2x + 4 > 12",x > 4:x < 4:x > 8:x < 8,x > 4,WORD
"If a ladder leans against a wall at a 60 degree angle to the ground. If the base is 5ft from the wall. How high up the wall does it reach? (Use tan(60) = 1.73)",5ft:8.65ft:10ft:12.5ft,8.65ft,WORD
